Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-A7-A26I-01A,0.0208319377110078,0,0.00381004017482372,0,0,0.0890056041314578,0.0111362732405296,0.0293105412806498,0.00979081491900181,0,0.0135307849023129,0,0.0129054136313559,0.181746367002548,0.0328381368641313,0.103756322723181,0.000944749797562002,0.0332891346504786,0.0297459208551906,0,0.00773874510753724,0.00167097876439244,0,0.652101450082023,0.774350685089518,0.582051765756161
TCGA-A7-A4SD-01A,0.0195090843896046,0,0.188679803018918,0.197570160153345,0,0.229185859341792,0.0454630846393527,0.0838772938536942,0.0684108890676652,0,0.0443249203371395,0.00558551201173352,0.0145297778868349,0.200365971801206,0.200997631211017,0.110215869413557,0,0.0474387811155041,0.0444582817034787,0,0,0.00326731672573556,0,0.76187623219708,0.722406267682497,1.50388023667058
TCGA-A7-A4SE-01A,0.0269255887439227,0,0.0137580764896738,0.0338869441630325,0,0.195508476952231,0.0128038683059876,0.0863854074409005,0.0490549586125387,0,0.0405936605698628,0,0,0.445724514612597,0.183218514622208,0.169437318123001,0.0291262390568149,0.0103943533483353,0.0226700325850718,0,0,9.40410788966775e-05,0,0.816963490603211,0.643694308398355,1.31958199470507
TCGA-A7-A5ZV-01A,0.015511673439301,0.0120376188830549,0.00173780455593473,0.0710946166991023,0,0.0999268818278892,0,0.0249965019655699,0.0293169321544483,0,0,0.0191960661478288,0.0711301129546453,0.282166135086472,0.0639485521943505,0.167774640918414,0.0174193684416968,0.0459950137188488,0.0405948867262585,0,0.00390010193326128,0.00843752519301502,0,0.536049713237336,0.844673318514463,0.975184432840092
TCGA-A7-A6VV-01A,0.0199452112626285,0.00844173996240897,0.0357444102079416,0.0472113467501828,0,0.187003374355493,0,0.056783982293283,0.0492791103030327,0,0.0256580954774422,0.00240235200158205,0,0.584861209064798,0.12242112802665,0.212785115010664,0.00572130067864097,0,0.0446771684632471,0,0,0.00218396955302625,0,0.890564787009392,0.565069307621427,1.40511951341102
TCGA-A7-A6VW-01A,0.00975359029517037,0.0350850822381411,0.0301931382128038,0.0279672299314346,0,0.152368207051677,0.00387422102353049,0.0610447943295057,0.0356234702945286,0,0.0152061879861136,0.0201894011956959,0.0488222778644166,0.320311488790405,0.124533120031262,0.128825498326076,0,0.0416962177298742,0,0.0194485950755328,0,0.0224896527333242,0,0.672908447795933,0.760055979388043,1.09743217310949
TCGA-A7-A6VY-01A,0.023936155707924,0,0.148908529793755,0.11305022505431,0,0.0946892243720171,0.0786508592702275,0.157696408739704,0.0437290749520005,0,0.0109990778091033,0.0180427408832593,0,0.438808908029041,0.192683895825007,0.218330421607569,0.040095936533753,0,0.0124045367104688,0.0111492358464948,0,0.0083846624738734,0,0.751268350194212,0.717489072276796,1.61155989360851
TCGA-A8-A07C-01A,0.0606979806505624,0,0.0815196018561414,0.136057557051558,0,0.178841193972902,0.0943019404696957,0.0969981859650912,0.0205483460157302,0.0133861677005359,0.0640611528484206,0,0,0.156343467532387,0.12227096092385,0.301079630672394,0,0.0372144408305492,0.0151766653348087,0,0,0.00375296915023434,0,0.654612875233344,0.789790889000861,1.38225026097486
TCGA-A8-A07O-01A,0.0193934638801311,0,0,0.110007517174092,0,0.230598384434389,0.032343695514599,0.0510261006649684,0.0471162419510617,0,0.0238714113918429,0.0101400231119362,0.00783038742828429,0.824570939066056,0.083754068923904,0.0852385826211731,0,0.0158073251080719,0,0.0506145701871733,0,0.00485583266330653,0,0.569699175493369,0.822023002694038,1.59716854412099
TCGA-A8-A08R-01A,0.051714713099503,0,0.107207495168978,0.116351547858373,0,0.174710043928042,0.0820596143958353,0.106786758378497,0.0518841517705229,0.00925293281716977,0.0442845628359786,0.00564163472579931,0,0.611495529097672,0.250634505475079,0.251076460840601,0.00336025301371116,0,0.037564787661693,0,0,0,0,0.825317515256176,0.649917603066443,1.90402499106746
TCGA-A8-A09X-01A,0.0545759516484622,0,0.0656325062914139,0.153103499139417,0,0.198081656370009,0.0222158129015046,0.112570753563114,0.0628015577974917,0.0410292777171185,0,0.0225784404071125,0.0576690239044003,0.0982889486980448,0.159237347093645,0.260536196815688,0.00219049114224418,0.0149632899354662,0.109395102917216,0,0,0.000719736292205758,0,0.752923801684842,0.737234720957445,1.43558959263455
TCGA-AC-A2BK-01A,0.0631661616117559,0,0.0407693285860669,0.102360748919881,0,0.104002722706908,0.0192049218321647,0.0706759472574092,0.020784494092458,0.0313853567789055,0,0.00305551490774285,0.00688043954105488,0.0850477153084135,0.0976109365094339,0.157176431462163,0.0150299316248049,0.00699087858704134,0.0131304835092534,0,0.00390393668507115,0,0.02,0.256316349864169,0.981645346597233,0.841175949920528
